image_index,filename,predicted_label,adversarial_probability,true_label
0,000001.jpg,1,0.8810688906171966,1
1,000002.jpg,1,0.8852358744039509,1
2,000003.jpg,1,0.9230400381284805,1
3,000004.jpg,1,0.9249971290354303,1
4,000005.jpg,1,0.8925545811607892,1
5,000006.jpg,1,0.8277430451776014,1
6,000007.jpg,1,0.6252270616727112,1
7,000008.jpg,1,0.6923066139162882,1
8,000009.jpg,1,0.7354271431637972,1
9,000010.jpg,1,0.7312840412872181,1
10,000011.jpg,1,0.9215943361523692,1
11,000012.jpg,1,0.8020045756974525,1
12,000013.jpg,1,0.7633143189942079,1
13,000014.jpg,0,0.5,1
14,000015.jpg,1,0.7074302377339251,1
15,000016.jpg,0,0.40742985591414527,1
16,000017.jpg,0,0.46547427068092645,1
17,000018.jpg,0,0.3837951274200669,1
18,000019.jpg,1,0.5957878041596567,1
19,000020.jpg,1,0.678070159113984,1
20,000021.jpg,1,0.692469442638101,1
21,000022.jpg,1,0.7344062653360306,1
22,000023.jpg,1,0.7732381872184216,1
23,000024.jpg,1,0.6032492139782206,1
24,000025.jpg,1,0.6427921324106863,1
25,000026.jpg,1,0.5490180087742923,1
26,000027.jpg,1,0.5193512079111282,1
27,000028.jpg,1,0.6770611431681243,1
28,000029.jpg,1,0.603296506253783,1
29,000030.jpg,0,0.5,1
30,000031.jpg,1,0.6652576060978341,1
31,000032.jpg,1,0.704499896521719,1
32,000033.jpg,1,0.6929332115013797,1
33,000034.jpg,1,0.767795916776965,1
34,000035.jpg,1,0.731934838984653,1
35,000036.jpg,1,0.7926408564780422,1
36,000037.jpg,1,0.814209309633042,1
37,000038.jpg,1,0.7368744076834124,1
38,000039.jpg,1,0.6694505176416995,1
39,000040.jpg,1,0.7451365395153302,1
40,000041.jpg,1,0.9379374329927027,1
41,000042.jpg,1,0.9337482272583312,1
42,000043.jpg,1,0.9386443448770705,1
43,000044.jpg,1,0.9069191827864005,1
44,000045.jpg,1,0.8605963398613974,1
45,000046.jpg,1,0.8298281045217679,1
46,000047.jpg,1,0.872102435901905,1
47,000048.jpg,1,0.8943142842947638,1
48,000049.jpg,1,0.9308644520897175,1
49,000050.jpg,1,0.8923079800831776,1
50,000051.jpg,1,0.8805614326824424,1
51,000052.jpg,1,0.707337168503673,1
52,000053.jpg,1,0.9193325561149502,1
53,000054.jpg,1,0.917890456290197,1
54,000055.jpg,1,0.873809267282479,1
55,000056.jpg,1,0.9013997781398406,1
56,000057.jpg,1,0.9205012437041195,1
57,000058.jpg,1,0.8458740526642559,1
58,000059.jpg,1,0.9153138563555958,1
59,000060.jpg,1,0.7123050584551824,1
