image_index,filename,predicted_label,adversarial_probability,true_label
0,000001.jpg,0,0.019368088942074504,0
1,000002.jpg,0,0.00491790822862139,0
2,000003.jpg,0,0.02970875505136566,0
3,000004.jpg,0,0.012844593503285982,0
4,000005.jpg,0,0.009397646780902278,0
5,000006.jpg,0,0.007731267918168052,0
6,000007.jpg,0,0.009724628213954263,0
7,000008.jpg,0,0.004845268902566156,0
8,000009.jpg,0,0.003752527405710409,0
9,000010.jpg,0,0.0025996070136420097,0
10,000011.jpg,0,0.0038715092918391713,0
11,000012.jpg,0,0.001424882482640917,0
12,000013.jpg,0,0.002284220008356157,0
13,000014.jpg,0,0.0031122502951873936,0
14,000015.jpg,0,0.002352703119224079,0
15,000016.jpg,0,0.0028258847812170943,0
16,000017.jpg,0,0.0015076041965763165,0
17,000018.jpg,0,0.0022177337421578455,0
18,000019.jpg,0,0.002192431915694098,0
19,000020.jpg,0,0.003155686490376702,0
20,000021.jpg,0,0.002114787896475009,0
21,000022.jpg,0,0.0023237409121567884,0
22,000023.jpg,0,0.006691810605719885,0
23,000024.jpg,0,0.0018580684550389746,0
24,000025.jpg,0,0.004758174552538831,0
25,000026.jpg,0,0.008662688155925436,0
26,000027.jpg,0,0.012749108455842331,0
27,000028.jpg,0,0.007310126740628168,0
28,000029.jpg,0,0.00544506974636069,0
29,000030.jpg,0,0.003236835847645544,0
30,000031.jpg,0,0.00487035304691009,0
31,000032.jpg,0,0.0009192755880185253,0
32,000033.jpg,0,0.0025960482106804276,0
33,000034.jpg,0,0.0012837159762898993,0
34,000035.jpg,0,0.0032701188281166423,0
35,000036.jpg,0,0.0018023570106718253,0
36,000037.jpg,0,0.002967249385070473,0
37,000038.jpg,0,0.003041031749549612,0
38,000039.jpg,0,0.0019067315921346946,0
39,000040.jpg,0,0.0019227673548598669,0
40,000041.jpg,0,0.001488237680715311,0
41,000042.jpg,0,0.0011767941310980958,0
42,000043.jpg,0,0.001615386548527932,0
43,000044.jpg,0,0.005088680466473102,0
44,000045.jpg,0,0.0058471109992464625,0
45,000046.jpg,0,0.005496758192818636,0
46,000047.jpg,0,0.00498165202641665,0
